DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
16-Feb-2026,EQ,"2,124.20","2,190.90","2,103.20","2,136.60","2,181.30","2,184.60","2,159.21","2,695.00","1,848.00","18,24,808","3,94,01,44,107.50","69,844"
13-Feb-2026,EQ,"2,210.00","2,210.00","2,124.20","2,211.80","2,127.00","2,136.60","2,153.02","2,695.00","1,848.00","14,89,548","3,20,70,19,459.60","57,301"
12-Feb-2026,EQ,"2,229.00","2,229.50","2,201.00","2,234.40","2,209.00","2,211.80","2,210.84","2,695.00","1,848.00","6,49,585","1,43,61,29,210.70","33,140"
11-Feb-2026,EQ,"2,232.90","2,237.70","2,215.10","2,228.40","2,230.00","2,234.40","2,229.57","2,695.00","1,848.00","6,82,320","1,52,12,78,632.70","30,700"
10-Feb-2026,EQ,"2,259.00","2,268.30","2,171.00","2,250.10","2,227.30","2,228.40","2,225.16","2,695.00","1,848.00","16,70,672","3,71,75,08,473.90","72,035"
09-Feb-2026,EQ,"2,250.00","2,288.00","2,240.00","2,226.40","2,250.40","2,250.10","2,261.50","2,695.00","1,848.00","16,50,899","3,73,35,14,090.10","50,286"
06-Feb-2026,EQ,"2,226.10","2,238.00","2,200.40","2,236.60","2,219.00","2,226.40","2,221.02","2,695.00","1,848.00","9,33,650","2,07,36,53,676.90","37,449"
05-Feb-2026,EQ,"2,232.00","2,243.70","2,210.00","2,228.20","2,232.60","2,236.60","2,224.95","2,695.00","1,848.00","9,92,382","2,20,79,95,419.70","42,025"
04-Feb-2026,EQ,"2,220.00","2,246.00","2,189.20","2,202.60","2,225.00","2,228.20","2,218.87","2,695.00","1,848.00","20,51,918","4,55,29,35,775.60","71,644"
03-Feb-2026,EQ,"2,150.00","2,233.40","2,131.10","1,995.40","2,206.50","2,202.60","2,201.97","2,695.00","1,848.00","69,18,581","15,23,45,26,951.80","2,39,268"
02-Feb-2026,EQ,"1,956.60","2,002.20","1,934.00","1,942.80","1,995.00","1,995.40","1,967.79","2,695.00","1,848.00","12,29,270","2,41,89,39,814.60","61,151"
01-Feb-2026,EQ,"2,021.00","2,039.80","1,931.00","2,020.40","1,937.80","1,942.80","1,981.17","2,695.00","1,848.00","18,02,165","3,57,03,97,922.40","61,214"
30-Jan-2026,EQ,"2,005.00","2,038.80","1,992.20","2,019.20","2,020.00","2,020.40","2,022.61","2,695.00","1,848.00","12,30,915","2,48,96,56,721.10","52,794"
29-Jan-2026,EQ,"1,999.80","2,029.10","1,972.00","1,994.70","2,016.00","2,019.20","1,999.01","2,695.00","1,848.00","13,91,239","2,78,11,03,948.90","52,774"
28-Jan-2026,EQ,"1,985.00","2,004.00","1,952.00","1,959.50","1,995.00","1,994.70","1,983.29","2,695.00","1,848.00","20,73,198","4,11,17,49,269.90","64,566"
27-Jan-2026,EQ,"1,909.00","1,973.90","1,893.00","1,864.20","1,963.00","1,959.50","1,946.17","2,695.00","1,848.00","54,49,633","10,60,59,29,779.20","1,75,711"
